"iORF_ID","MD5","length","analysis","signature_accession","signature_description","start","stop","score","status","date","interpro_accession","interpro_description"
"MICT00000141055_925_997","0275da25916db261fc26a65ad74e1212",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"ENST00000382778_ncRNA_16","9ac259cedb33a377cef0f8ae13e56630",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000377087_uORF_0","db3384809105a889378e03f47ae9419e",64,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000377087_uORF_0","db3384809105a889378e03f47ae9419e",64,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,64,"-","T","03-11-2022","-","-"
"ENST00000601251_51_159","efb6505cb11d10353dab835990f6cbe9",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",8,22,"-","T","03-11-2022","-","-"
"ENST00000601251_51_159","efb6505cb11d10353dab835990f6cbe9",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,35,"-","T","03-11-2022","-","-"
"ENST00000545882_63_147","1859ee8e951ae6faa02871bb83d02675",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,28,"-","T","03-11-2022","-","-"
"MICT00000143749_ncRNA_13","2ba642c3b493a5d4d8b29cfd940c3927",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENCT00000014663_ncRNA_8","cdf86645d12bad602bb9d71ee599ea9e",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENCT00000240499_ncRNA_0","a5f4a6578aa6a8fc06e8187b0c875411",57,"MobiDBLite","mobidb-lite","consensus disorder prediction",43,57,"-","T","03-11-2022","-","-"
"ENCT00000240499_ncRNA_0","a5f4a6578aa6a8fc06e8187b0c875411",57,"MobiDBLite","mobidb-lite","consensus disorder prediction",31,57,"-","T","03-11-2022","-","-"
"FTMT24700027831_110_173","1acdc9926415a04da974e70f37644dfc",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000444380_15_294","c044f2883ab09b80f65e0fc2432063cc",92,"MobiDBLite","mobidb-lite","consensus disorder prediction",24,48,"-","T","03-11-2022","-","-"
"HBMT00001137565_1281_1359","cbc4a387c58e7189c3e0aa45d1fbf8a4",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"HBMT00001137565_1281_1359","cbc4a387c58e7189c3e0aa45d1fbf8a4",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,15,"-","T","03-11-2022","-","-"
"MICT00000249406_ncRNA_17","189f414fc84797d4e47d06bd7177c5cb",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,18,"-","T","03-11-2022","-","-"
"MICT00000249406_ncRNA_17","189f414fc84797d4e47d06bd7177c5cb",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,34,"-","T","03-11-2022","-","-"
"ENST00000428669_270_357","a6ca8a5d510b99b1bee6c1b9c4c5e526",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,28,"-","T","03-11-2022","-","-"
"MICT00000132995_335_410","8e342c4c71cce568d02a64962234e27d",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"MICT00000054524_85_238","d8c77c5afeeedd682fe9e39b140382cb",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",25,50,"-","T","03-11-2022","-","-"
"ENST00000377482_104_173","f531263e0942bfc910beab0824648d37",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000320129_91_217","75a6a8625b2f40c51ae705124b3a12b8",41,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,41,"-","T","03-11-2022","-","-"
"ENCT00000452900_ncRNA_0","f55c5c5f7b9c3831981de2c387e559d0",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"MICT00000165759_249_438","6ef3b1dc7506369ab03624d99238853d",62,"PANTHER","PTHR15420","UBIQUINOL-CYTOCHROME C REDUCTASE COMPLEX 6.4 KD PROTEIN",1,55,"7.5E-9","T","03-11-2022","IPR015089","Cytochrome b-c1 complex subunit 10"
"HBMT00000787740_661_730","e6a3ac0996862b4a8a754978c64bda64",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000535672_1518_1707","bd99f5aa7a9a7463589ced98ecfb713b",62,"MobiDBLite","mobidb-lite","consensus disorder prediction",28,62,"-","T","03-11-2022","-","-"
"ENST00000357743_uORF_12","cc9fe3e3f6275e813523859593d10426",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,34,"-","T","03-11-2022","-","-"
"ENCT00000290378_62_173","9bb60ed5edc6b017f0c240b6eb7d760b",36,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,36,"-","T","03-11-2022","-","-"
"ENST00000400761_uORF_3","6d410e011c284b9878e50a7cbac9901a",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"HBMT00000919610_ncRNA_11","8dce5c32c8bac8035df5ccfbbdb75925",48,"MobiDBLite","mobidb-lite","consensus disorder prediction",27,48,"-","T","03-11-2022","-","-"
"ENST00000445715_86_536","35187302dca875efdec3f434d0527a7e",149,"PANTHER","PTHR16127","TAXILIN",21,144,"9.0E-20","T","03-11-2022","IPR026183","Taxilin family"
"MICT00000336470_ncRNA_0","3776b5bb28baa85d842db25a453c4d0b",120,"MobiDBLite","mobidb-lite","consensus disorder prediction",75,120,"-","T","03-11-2022","-","-"
"ENCT00000457731_ncRNA_7","d7584229e53f62553db6d46a1172a499",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,35,"-","T","03-11-2022","-","-"
"ENCT00000058072_98_200","acdc7193f5ddc5b2e7cf442227bd985e",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,33,"-","T","03-11-2022","-","-"
"ENCT00000058072_98_200","acdc7193f5ddc5b2e7cf442227bd985e",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,15,"-","T","03-11-2022","-","-"
"ENST00000438378_256_337","6296b922e4dc323d7990b428b26e594a",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"ENST00000471251_39_108","f203924c056a6a4f05dbbb0e71ffde46",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENCT00000196279_15_1206","1ef159fa1d508e718f06447216c0a6c5",397,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,114,"-","T","03-11-2022","-","-"
"ENCT00000196279_15_1206","1ef159fa1d508e718f06447216c0a6c5",397,"PANTHER","PTHR21446","DUF3504 DOMAIN-CONTAINING PROTEIN",153,395,"2.7E-77","T","03-11-2022","-","-"
"ENCT00000196279_15_1206","1ef159fa1d508e718f06447216c0a6c5",397,"MobiDBLite","mobidb-lite","consensus disorder prediction",138,168,"-","T","03-11-2022","-","-"
"ENCT00000196279_15_1206","1ef159fa1d508e718f06447216c0a6c5",397,"MobiDBLite","mobidb-lite","consensus disorder prediction",55,113,"-","T","03-11-2022","-","-"
"ENCT00000196279_15_1206","1ef159fa1d508e718f06447216c0a6c5",397,"Coils","Coil","Coil",52,79,"-","T","03-11-2022","-","-"
"ENST00000482885_ncRNA_38","832fdfaf65b5c10ab83da497c9532076",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"FTMT22100003801_252_318","64d328ef353963fb624fe4c0ee52ec3d",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"MICT00000073333_144_222","ddd98c9081dd9b8eca15d7fca7e6a625",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000508237_108_231","2a20e4f7620e8d82be4f59082f7b821d",40,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,40,"-","T","03-11-2022","-","-"
"ENST00000622074_uoORF_2","849b74ac9886fdf8ffcf529e2aa08b10",41,"MobiDBLite","mobidb-lite","consensus disorder prediction",21,41,"-","T","03-11-2022","-","-"
"MICT00000208905_245_485","ffaad46911f2043bc1ff7c47a3cb42fa",79,"MobiDBLite","mobidb-lite","consensus disorder prediction",57,79,"-","T","03-11-2022","-","-"
"MICT00000208905_245_485","ffaad46911f2043bc1ff7c47a3cb42fa",79,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,79,"-","T","03-11-2022","-","-"
"ENST00000402568_uORF_10","5ba55d3f72c24c229c809bf0aa41f21b",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000495070_135_345","323296cfd725e7c47bf7faf88a378abf",69,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"ENST00000495070_135_345","323296cfd725e7c47bf7faf88a378abf",69,"MobiDBLite","mobidb-lite","consensus disorder prediction",10,24,"-","T","03-11-2022","-","-"
"HBMT00000431241_22_148","cafbd25a849d5ff0ef4ebcd782e8fb09",42,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"HBMT00000807882_78_279","b3fb3473bf86805a895059bedf97d080",66,"MobiDBLite","mobidb-lite","consensus disorder prediction",26,66,"-","T","03-11-2022","-","-"
"ENST00000406189_uORF_3","957b9ab5b75b714470258621f61cc93c",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"MICT00000069221_ncRNA_28","90adb891e046d6abba4bc424cf63a8d1",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"ENST00000438120_194_257","f180422fe0bc52dde61b974d62a5940a",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000515350_304_418","d81646d1e339794877ed9d39ffecef07",38,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,38,"-","T","03-11-2022","-","-"
"FTMT22900022178_ncRNA_27","7c55b9ca4530dbdfd3e792529f41c46b",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENST00000485174_171_237","b86276a5ef29704bbf2f0c14010e90de",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000262879_uORF_18","6cd519ab649d9a795e84c353772e74e3",30,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,30,"-","T","03-11-2022","-","-"
"ENCT00000228087_875_983","30dcf66ba81807ce037beb284fac734a",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,18,"-","T","03-11-2022","-","-"
"ENCT00000228087_875_983","30dcf66ba81807ce037beb284fac734a",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,35,"-","T","03-11-2022","-","-"
"ENST00000593274_387_474","c72055cd0bbadfb61f41e3463807113b",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,28,"-","T","03-11-2022","-","-"
"HBMT00000615395_443_680","1e16cfd47c12591d9712e1959a9e70a5",78,"MobiDBLite","mobidb-lite","consensus disorder prediction",58,78,"-","T","03-11-2022","-","-"
"HBMT00000998955_ncRNA_15","c9a0e0166bb78bf1826858f0176617b6",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,33,"-","T","03-11-2022","-","-"
"HBMT00000998955_ncRNA_15","c9a0e0166bb78bf1826858f0176617b6",33,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,16,"-","T","03-11-2022","-","-"
"ENST00000525151_ncRNA_3","0124240c14613149d4441fa38033d9c5",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"FTMT23800002199_362_569","c7ae4c955c71bfb27f82269f00b54f89",68,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,68,"-","T","03-11-2022","-","-"
"ENCT00000143542_ncRNA_15","6635da06e99490e9a085f9ae185cd239",54,"MobiDBLite","mobidb-lite","consensus disorder prediction",16,54,"-","T","03-11-2022","-","-"
"HBMT00000727053_352_439","32fb5912d4ef92269bb7b5a5e63e5acf",28,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,28,"-","T","03-11-2022","-","-"
"ENCT00000172464_153_270","ae0f6730e9bf8b1e0d3894121c0e26a6",38,"MobiDBLite","mobidb-lite","consensus disorder prediction",16,38,"-","T","03-11-2022","-","-"
"ENST00000357559_191_251","4aa170a1f17559b6850c6ac20733e26c",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000625262_ncRNA_7","12e33a83b172b1863d60572fed2e5c29",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"ENST00000625262_ncRNA_7","12e33a83b172b1863d60572fed2e5c29",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",12,26,"-","T","03-11-2022","-","-"
"ENST00000514379_uORF_5","9049c13438f5edba5f39194442fbd695",29,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,29,"-","T","03-11-2022","-","-"
"MICT00000034170_ncRNA_24","9b346e1c7cabd0d47b355aa6ec5f35ac",45,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000423414_373_550","c447faf71adf15d788f01ead09aaf0f2",58,"MobiDBLite","mobidb-lite","consensus disorder prediction",20,45,"-","T","03-11-2022","-","-"
"ENST00000423414_373_550","c447faf71adf15d788f01ead09aaf0f2",58,"MobiDBLite","mobidb-lite","consensus disorder prediction",22,37,"-","T","03-11-2022","-","-"
"ENCT00000354196_1232_1490","448b6ef10d0bf0be4367e6621032a5d7",86,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,69,"-","T","03-11-2022","-","-"
"ENST00000431232_uORF_9","404332520e38f3b26a12a34ea08015fe",32,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"ENST00000374561_740_881","918d842bfda84e7390ecb9da1d3e2449",46,"MobiDBLite","mobidb-lite","consensus disorder prediction",23,46,"-","T","03-11-2022","-","-"
"HBMT00000244442_ncRNA_14","efe9e565f8cd858a90d878eebd72e3b7",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENCT00000029710_ncRNA_0","87d84c5ff6cd74124e7962ae0e65c88a",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"MICT00000222812_ncRNA_13","0dba73b21d26bc32f51f51a6ba02b01c",29,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,29,"-","T","03-11-2022","-","-"
"ENST00000562041_306_486","94854d02dc4212d1d5005dbaed1f4872",59,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"ENST00000570016_1066_1207","4e8947870873c756ec9034a6d16f4ea6",46,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,46,"-","T","03-11-2022","-","-"
"ENST00000391982_156_354","8ad554c503815ee86dd181a351df488b",65,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"ENCT00000456401_4_202","93b649a62bd08193981affe0b284b953",65,"MobiDBLite","mobidb-lite","consensus disorder prediction",33,52,"-","T","03-11-2022","-","-"
"ENCT00000456401_4_202","93b649a62bd08193981affe0b284b953",65,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,65,"-","T","03-11-2022","-","-"
"ENCT00000456401_4_202","93b649a62bd08193981affe0b284b953",65,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,32,"-","T","03-11-2022","-","-"
"ENST00000468073_274_340","b091411bafe0e16d6497640da14d78a2",21,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,21,"-","T","03-11-2022","-","-"
"ENST00000316793_469_586","ab5db0199950461ae24fc4bb4c34947e",38,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,38,"-","T","03-11-2022","-","-"
"FTMT27500036097_207_288","1c392c3f21f2d6deac7ec47f74e79108",26,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,26,"-","T","03-11-2022","-","-"
"ENST00000521367_32_287","8138e773cca0ea7537a5f295dfa94881",84,"MobiDBLite","mobidb-lite","consensus disorder prediction",36,50,"-","T","03-11-2022","-","-"
"ENST00000521367_32_287","8138e773cca0ea7537a5f295dfa94881",84,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,84,"-","T","03-11-2022","-","-"
"ENCT00000467302_ncRNA_13","15cb7afe5e28e66d1c42186de3801bf7",24,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,24,"-","T","03-11-2022","-","-"
"FTMT25500014523_61_244","edfcb40ea8a6a45b68df4bb1e0d29dc7",60,"PANTHER","PTHR12138","PRIMATE-EXPANDED PROTEIN FAMILY",14,55,"3.1E-11","T","03-11-2022","-","-"
"FTMT23900030253_ncRNA_10","5ddf4a6c4ea389e62096df960175b900",48,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"ENST00000370269_uoORF_5","bfd86ed2cbc1e3d3b07568979d744cf2",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",13,33,"-","T","03-11-2022","-","-"
"ENST00000370269_uoORF_5","bfd86ed2cbc1e3d3b07568979d744cf2",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,50,"-","T","03-11-2022","-","-"
"ENST00000370269_uoORF_5","bfd86ed2cbc1e3d3b07568979d744cf2",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",34,50,"-","T","03-11-2022","-","-"
"ENST00000465539_1156_1381","96b346b3ed5fb914c6df0ee25c46a455",74,"PANTHER","PTHR14947","ZINC FINGER PROTEIN",17,74,"3.3E-14","T","03-11-2022","IPR039938","Zinc finger protein 781"
"ENST00000597790_282_366","d2885e98c52c56485c824879a3adf523",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"FTMT24100020683_197_320","4a8c35d0fd34f53b8c720f89e9bd73fa",41,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,41,"-","T","03-11-2022","-","-"
"ENCT00000144317_516_642","e5dbdc253550e1706691846f45edbe8e",42,"MobiDBLite","mobidb-lite","consensus disorder prediction",22,42,"-","T","03-11-2022","-","-"
"ENCT00000144317_516_642","e5dbdc253550e1706691846f45edbe8e",42,"MobiDBLite","mobidb-lite","consensus disorder prediction",21,42,"-","T","03-11-2022","-","-"
"FTMT24500053098_393_465","cd38780a4e173a0c9f392b1fa8ba8608",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"MICT00000257177_104_173","5d73a31261ec9577e5f58c0628e1cfdb",23,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,23,"-","T","03-11-2022","-","-"
"HBMT00000152105_348_432","e803131bbfac2196f1c055dff8a873df",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,18,"-","T","03-11-2022","-","-"
"HBMT00000152105_348_432","e803131bbfac2196f1c055dff8a873df",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"FTMT22100052303_74_203","9248a546a068dbfd0b66bd79ac765d97",42,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,42,"-","T","03-11-2022","-","-"
"ENST00000522340_uORF_36","5bb8c112cd449393545a741b5593b994",22,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,22,"-","T","03-11-2022","-","-"
"MICT00000339796_43_103","41cd86581071b8dc9765e69b7f9aa177",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000335080_160_244","c2746ea3ee78b5f511d9e685cac4c2c7",27,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,27,"-","T","03-11-2022","-","-"
"MICT00000174592_11945_12185","0d25ab12b7eef9ad96c2c9ff41165270",79,"MobiDBLite","mobidb-lite","consensus disorder prediction",31,62,"-","T","03-11-2022","-","-"
"ENST00000368232_dORF_2","46cfcdf11b84588c90bcb9ff29275e06",84,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,84,"-","T","03-11-2022","-","-"
"ENST00000368232_dORF_2","46cfcdf11b84588c90bcb9ff29275e06",84,"MobiDBLite","mobidb-lite","consensus disorder prediction",20,51,"-","T","03-11-2022","-","-"
"ENST00000568886_uORF_7","ab5a95d997576b5a0f2907a74db5489e",50,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,50,"-","T","03-11-2022","-","-"
"ENST00000367815_liu-2013:40302_id","1225be40595bc402aa89d0a6fbc1cb70",34,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,34,"-","T","03-11-2022","-","-"
"ENCT00000166664_397_493","0ee2a5c7b59c425490ff5e0d839e4963",31,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,31,"-","T","03-11-2022","-","-"
"MICT00000379280_ncRNA_8","e4df1a1eb9318b8d76c42d85d4b9212a",35,"ProSiteProfiles","PS51257","Prokaryotic membrane lipoprotein lipid attachment site profile.",1,26,"5.0","T","03-11-2022","-","-"
"ENST00000228865_uORF_1","900c06668a6bbc2521c18ca490e9a184",25,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,25,"-","T","03-11-2022","-","-"
"ENST00000345230_59_206","3302b8ad4cb778b0d9a1d456695cc93a",48,"MobiDBLite","mobidb-lite","consensus disorder prediction",32,48,"-","T","03-11-2022","-","-"
"ENST00000345230_59_206","3302b8ad4cb778b0d9a1d456695cc93a",48,"MobiDBLite","mobidb-lite","consensus disorder prediction",23,48,"-","T","03-11-2022","-","-"
"ENST00000329152_677_785","d45cb6d1a615d7d71b1c8497f2ef16c5",36,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,36,"-","T","03-11-2022","-","-"
"FTMT20100110079_ncRNA_8","62eae1c2720f67236d0756007d8eebe5",38,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
"ENST00000313732_156_264","ba38ec0f70111be50806c380df7a3160",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,18,"-","T","03-11-2022","-","-"
"ENST00000313732_156_264","ba38ec0f70111be50806c380df7a3160",35,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,35,"-","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"Gene3D","G3DSA:3.30.160.60","Classic Zinc Finger",149,171,"3.8E-13","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"Pfam","PF00096","Zinc finger, C2H2 type",149,170,"2.3E-5","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"Pfam","PF01352","KRAB box",1,34,"1.6E-16","T","03-11-2022","IPR001909","Krueppel-associated box"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"SMART","SM00355","c2h2final6",120,142,"14.0","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"SMART","SM00355","c2h2final6",148,170,"0.029","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"Gene3D","G3DSA:3.30.160.60","Classic Zinc Finger",172,192,"1.2E-9","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSiteProfiles","PS50805","Krueppel-associated box (KRAB) profile.",1,64,"18.323118","T","03-11-2022","IPR001909","Krueppel-associated box"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"SUPERFAMILY","SSF57667","beta-beta-alpha zinc fingers",142,191,"8.06E-15","T","03-11-2022","IPR036236","Zinc finger C2H2 superfamily"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"CDD","cd07765","KRAB_A-box",1,31,"3.38942E-12","T","03-11-2022","IPR001909","Krueppel-associated box"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"FunFam","G3DSA:3.30.160.60:FF:000478","Zinc finger protein 133",145,171,"8.2E-12","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSitePatterns","PS00028","Zinc finger C2H2 type domain signature.",150,170,"-","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSiteProfiles","PS50157","Zinc finger C2H2 type domain profile.",120,147,"10.159096","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"FunFam","G3DSA:3.30.160.60:FF:000176","zinc finger protein 70",172,192,"5.2E-10","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSiteProfiles","PS50157","Zinc finger C2H2 type domain profile.",176,192,"8.828978","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"PANTHER","PTHR23232","KRAB DOMAIN C2H2 ZINC FINGER",1,191,"1.6E-32","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSiteProfiles","PS50157","Zinc finger C2H2 type domain profile.",148,175,"16.581074","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"SUPERFAMILY","SSF109640","KRAB domain (Kruppel-associated box)",1,42,"4.18E-15","T","03-11-2022","IPR036051","KRAB domain superfamily"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"Gene3D","G3DSA:6.10.140.140","-",1,47,"7.9E-16","T","03-11-2022","-","-"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"ProSitePatterns","PS00028","Zinc finger C2H2 type domain signature.",122,142,"-","T","03-11-2022","IPR013087","Zinc finger C2H2-type"
"ENST00000589844_198_777","ab00604c530c7f431e07492fe12f840f",192,"SMART","SM00349","krabfinus",1,53,"1.3E-16","T","03-11-2022","IPR001909","Krueppel-associated box"
"MICT00000298893_614_1151","fb3cb60d062c65139cd3297c1547e907",179,"PANTHER","PTHR46522","CYTIDINE MONOPHOSPHATE-N-ACETYLNEURAMINIC ACID HYDROXYLASE",1,179,"1.0E-120","T","03-11-2022","IPR027033","Cytidine monophosphate-N-acetylneuraminic acid hydroxylase"
"MICT00000298893_614_1151","fb3cb60d062c65139cd3297c1547e907",179,"Gene3D","G3DSA:3.60.15.10","-",1,141,"1.8E-13","T","03-11-2022","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"MICT00000298893_614_1151","fb3cb60d062c65139cd3297c1547e907",179,"SUPERFAMILY","SSF56281","Metallo-hydrolase/oxidoreductase",4,170,"1.62E-15","T","03-11-2022","IPR036866","Ribonuclease Z/Hydroxyacylglutathione hydrolase-like"
"MICT00000298893_614_1151","fb3cb60d062c65139cd3297c1547e907",179,"Pfam","PF13483","Beta-lactamase superfamily domain",4,96,"1.8E-5","T","03-11-2022","-","-"
"ENST00000370032_uORF_3","6761e7f5a4662af1eb74071bc8509168",20,"MobiDBLite","mobidb-lite","consensus disorder prediction",1,20,"-","T","03-11-2022","-","-"
